id,participant_id,participant_id_unique,lang_code,conv_id,original_or_reenacted,time_start,time_end,duration,trans_id
ES_001_40,2,2,ES,ES_001,OG,0 days 00:07:36.683000,0 days 00:07:37.413000,0 days 00:00:00.730000,EN_001_40
ES_001_41,2,2,ES,ES_001,OG,0 days 00:08:51.393000,0 days 00:08:55.213000,0 days 00:00:03.820000,EN_001_41
EN_001_2,1,1,EN,EN_001,RE,0 days 00:02:06.201000,0 days 00:02:07.228000,0 days 00:00:01.027000,ES_001_2
EN_001_3,1,1,EN,EN_001,RE,0 days 00:05:12.793000,0 days 00:05:14.753000,0 days 00:00:01.960000,ES_001_3
EN_001_5,1,1,EN,EN_001,RE,0 days 00:05:16.185000,0 days 00:05:21.955000,0 days 00:00:05.770000,ES_001_5
EN_001_6,1,1,EN,EN_001,RE,0 days 00:07:59.702000,0 days 00:08:01.729000,0 days 00:00:02.027000,ES_001_6
EN_001_8,1,1,EN,EN_001,RE,0 days 00:08:01.904000,0 days 00:08:03.863000,0 days 00:00:01.959000,ES_001_8
EN_001_11,1,1,EN,EN_001,RE,0 days 00:12:42.465000,0 days 00:12:43.573000,0 days 00:00:01.108000,ES_001_11
EN_001_13,1,1,EN,EN_001,RE,0 days 00:14:58.977000,0 days 00:15:03.787000,0 days 00:00:04.810000,ES_001_13
EN_001_15,1,1,EN,EN_001,RE,0 days 00:15:04.916000,0 days 00:15:05.821000,0 days 00:00:00.905000,ES_001_15
EN_001_17,1,1,EN,EN_001,RE,0 days 00:17:52.789000,0 days 00:17:55.695000,0 days 00:00:02.906000,ES_001_17
EN_001_21,1,1,EN,EN_001,RE,0 days 00:25:26.071000,0 days 00:25:30.800000,0 days 00:00:04.729000,ES_001_21
EN_001_29,1,1,EN,EN_001,RE,0 days 00:32:22.512000,0 days 00:32:23.661000,0 days 00:00:01.149000,ES_001_29
EN_001_30,1,1,EN,EN_001,RE,0 days 00:36:14.066000,0 days 00:36:18.093000,0 days 00:00:04.027000,ES_001_30
EN_001_36,1,1,EN,EN_001,RE,0 days 00:40:10.289000,0 days 00:40:12.586000,0 days 00:00:02.297000,ES_001_36
EN_001_37,1,1,EN,EN_001,RE,0 days 00:40:12.640000,0 days 00:40:13.883000,0 days 00:00:01.243000,ES_001_37
EN_001_38,1,1,EN,EN_001,RE,0 days 00:43:35.236000,0 days 00:43:36.884000,0 days 00:00:01.648000,ES_001_38
EN_001_39,1,1,EN,EN_001,RE,0 days 00:43:36.898000,0 days 00:43:37.952000,0 days 00:00:01.054000,ES_001_39
EN_001_42,1,1,EN,EN_001,RE,0 days 00:47:55.627000,0 days 00:47:58.749000,0 days 00:00:03.122000,ES_001_42
EN_001_1,2,2,EN,EN_001,RE,0 days 00:02:05.357000,0 days 00:02:06.235000,0 days 00:00:00.878000,ES_001_1
EN_001_4,2,2,EN,EN_001,RE,0 days 00:05:14.854000,0 days 00:05:16.057000,0 days 00:00:01.203000,ES_001_4
EN_001_10,2,2,EN,EN_001,RE,0 days 00:12:36.560000,0 days 00:12:42.479000,0 days 00:00:05.919000,ES_001_10
EN_001_12,2,2,EN,EN_001,RE,0 days 00:12:43.559000,0 days 00:12:44.722000,0 days 00:00:01.163000,ES_001_12
EN_001_14,2,2,EN,EN_001,RE,0 days 00:15:03.950000,0 days 00:15:04.936000,0 days 00:00:00.986000,ES_001_14
EN_001_16,2,2,EN,EN_001,RE,0 days 00:17:51.472000,0 days 00:17:52.675000,0 days 00:00:01.203000,ES_001_16
EN_001_18,2,2,EN,EN_001,RE,0 days 00:18:55.783000,0 days 00:18:58.539000,0 days 00:00:02.756000,ES_001_18
EN_001_19,2,2,EN,EN_001,RE,0 days 00:18:58.539000,0 days 00:19:00.877000,0 days 00:00:02.338000,ES_001_19
EN_001_20,2,2,EN,EN_001,RE,0 days 00:21:13.174000,0 days 00:21:15.472000,0 days 00:00:02.298000,ES_001_20
EN_001_22,2,2,EN,EN_001,RE,0 days 00:25:30.804000,0 days 00:25:36.155000,0 days 00:00:05.351000,ES_001_22
EN_001_23,2,2,EN,EN_001,RE,0 days 00:28:19.566000,0 days 00:28:20.741000,0 days 00:00:01.175000,ES_001_23
EN_001_24,2,2,EN,EN_001,RE,0 days 00:28:20.741000,0 days 00:28:23.484000,0 days 00:00:02.743000,ES_001_24
EN_001_25,2,2,EN,EN_001,RE,0 days 00:28:23.485000,0 days 00:28:26.174000,0 days 00:00:02.689000,ES_001_25
EN_001_26,2,2,EN,EN_001,RE,0 days 00:29:50.923000,0 days 00:29:52.937000,0 days 00:00:02.014000,ES_001_26
EN_001_27,2,2,EN,EN_001,RE,0 days 00:32:16.512000,0 days 00:32:19.148000,0 days 00:00:02.636000,ES_001_27
EN_001_28,2,2,EN,EN_001,RE,0 days 00:32:19.600000,0 days 00:32:21.938000,0 days 00:00:02.338000,ES_001_28
EN_001_31,2,2,EN,EN_001,RE,0 days 00:36:18.119000,0 days 00:36:20.741000,0 days 00:00:02.622000,ES_001_31
EN_001_33,2,2,EN,EN_001,RE,0 days 00:40:02.628000,0 days 00:40:05.749000,0 days 00:00:03.121000,ES_001_33
EN_001_34,2,2,EN,EN_001,RE,0 days 00:40:05.810000,0 days 00:40:06.485000,0 days 00:00:00.675000,ES_001_34
EN_001_35,2,2,EN,EN_001,RE,0 days 00:40:06.525000,0 days 00:40:09.593000,0 days 00:00:03.068000,ES_001_35
EN_001_40,2,2,EN,EN_001,RE,0 days 00:43:37.952000,0 days 00:43:38.398000,0 days 00:00:00.446000,ES_001_40
EN_001_41,2,2,EN,EN_001,RE,0 days 00:47:51.431000,0 days 00:47:54.553000,0 days 00:00:03.122000,ES_001_41
ES_002_1,4,4,ES,ES_002,OG,0 days 00:02:55.305000,0 days 00:02:56.335000,0 days 00:00:01.030000,EN_002_1
ES_002_4,4,4,ES,ES_002,OG,0 days 00:03:21.195000,0 days 00:03:22.475000,0 days 00:00:01.280000,EN_002_4
ES_002_6,4,4,ES,ES_002,OG,0 days 00:03:50.685000,0 days 00:03:52.315000,0 days 00:00:01.630000,EN_002_6
ES_002_8,4,4,ES,ES_002,OG,0 days 00:03:57.440000,0 days 00:03:59,0 days 00:00:01.560000,EN_002_8
ES_002_10,4,4,ES,ES_002,OG,0 days 00:04:00.095000,0 days 00:04:00.875000,0 days 00:00:00.780000,EN_002_10
ES_002_11,4,4,ES,ES_002,OG,0 days 00:04:14.670000,0 days 00:04:18.760000,0 days 00:00:04.090000,EN_002_11
ES_002_12,4,4,ES,ES_002,OG,0 days 00:04:18.845000,0 days 00:04:21.765000,0 days 00:00:02.920000,EN_002_12
ES_002_15,4,4,ES,ES_002,OG,0 days 00:04:34.380000,0 days 00:04:35.910000,0 days 00:00:01.530000,EN_002_15
ES_002_17,4,4,ES,ES_002,OG,0 days 00:04:37.375000,0 days 00:04:38.125000,0 days 00:00:00.750000,EN_002_17
ES_002_18,4,4,ES,ES_002,OG,0 days 00:05:06.805000,0 days 00:05:07.815000,0 days 00:00:01.010000,EN_002_18
ES_002_20,4,4,ES,ES_002,OG,0 days 00:05:07.815000,0 days 00:05:09.145000,0 days 00:00:01.330000,EN_002_20
ES_002_21,4,4,ES,ES_002,OG,0 days 00:05:25.940000,0 days 00:05:27.030000,0 days 00:00:01.090000,EN_002_21
ES_002_23,4,4,ES,ES_002,OG,0 days 00:05:53.165000,0 days 00:05:56.605000,0 days 00:00:03.440000,EN_002_23
ES_002_27,4,4,ES,ES_002,OG,0 days 00:08:01.760000,0 days 00:08:02.930000,0 days 00:00:01.170000,EN_002_27
ES_002_28,4,4,ES,ES_002,OG,0 days 00:11:03.590000,0 days 00:11:05.900000,0 days 00:00:02.310000,EN_002_28
ES_002_29,4,4,ES,ES_002,OG,0 days 00:11:06.155000,0 days 00:11:07.445000,0 days 00:00:01.290000,EN_002_29
ES_002_31,4,4,ES,ES_002,OG,0 days 00:11:08.325000,0 days 00:11:10.505000,0 days 00:00:02.180000,EN_002_31
ES_002_34,4,4,ES,ES_002,OG,0 days 00:11:24.775000,0 days 00:11:27.775000,0 days 00:00:03,EN_002_34
ES_002_36,4,4,ES,ES_002,OG,0 days 00:11:54.285000,0 days 00:11:56.825000,0 days 00:00:02.540000,EN_002_36
ES_002_39,4,4,ES,ES_002,OG,0 days 00:12:02.940000,0 days 00:12:04.940000,0 days 00:00:02,EN_002_39
ES_002_40,4,4,ES,ES_002,OG,0 days 00:12:05.930000,0 days 00:12:07.700000,0 days 00:00:01.770000,EN_002_40
ES_002_42,4,4,ES,ES_002,OG,0 days 00:12:26.440000,0 days 00:12:30.470000,0 days 00:00:04.030000,EN_002_42
ES_002_2,3,3,ES,ES_002,OG,0 days 00:02:56.340000,0 days 00:02:56.940000,0 days 00:00:00.600000,EN_002_2
ES_002_3,3,3,ES,ES_002,OG,0 days 00:03:01.460000,0 days 00:03:02.540000,0 days 00:00:01.080000,EN_002_3
ES_002_5,3,3,ES,ES_002,OG,0 days 00:03:22.545000,0 days 00:03:23.655000,0 days 00:00:01.110000,EN_002_5
ES_002_7,3,3,ES,ES_002,OG,0 days 00:03:52.360000,0 days 00:03:54.610000,0 days 00:00:02.250000,EN_002_7
ES_002_9,3,3,ES,ES_002,OG,0 days 00:03:59.020000,0 days 00:04:00.130000,0 days 00:00:01.110000,EN_002_9
ES_002_13,3,3,ES,ES_002,OG,0 days 00:04:21.045000,0 days 00:04:22.905000,0 days 00:00:01.860000,EN_002_13
ES_002_14,3,3,ES,ES_002,OG,0 days 00:04:32.550000,0 days 00:04:34.170000,0 days 00:00:01.620000,EN_002_14
ES_002_16,3,3,ES,ES_002,OG,0 days 00:04:36.025000,0 days 00:04:37.385000,0 days 00:00:01.360000,EN_002_16
ES_002_22,3,3,ES,ES_002,OG,0 days 00:05:27.025000,0 days 00:05:28.075000,0 days 00:00:01.050000,EN_002_22
ES_002_24,3,3,ES,ES_002,OG,0 days 00:05:56.615000,0 days 00:05:57.075000,0 days 00:00:00.460000,EN_002_24
ES_002_25,3,3,ES,ES_002,OG,0 days 00:06:47.070000,0 days 00:06:48.490000,0 days 00:00:01.420000,EN_002_25
ES_002_26,3,3,ES,ES_002,OG,0 days 00:06:48.560000,0 days 00:06:50.100000,0 days 00:00:01.540000,EN_002_26
ES_002_30,3,3,ES,ES_002,OG,0 days 00:11:07.495000,0 days 00:11:08.295000,0 days 00:00:00.800000,EN_002_30
ES_002_32,3,3,ES,ES_002,OG,0 days 00:11:15.315000,0 days 00:11:17.195000,0 days 00:00:01.880000,EN_002_32
ES_002_33,3,3,ES,ES_002,OG,0 days 00:11:17.205000,0 days 00:11:18.475000,0 days 00:00:01.270000,EN_002_33
ES_002_35,3,3,ES,ES_002,OG,0 days 00:11:27.295000,0 days 00:11:29.065000,0 days 00:00:01.770000,EN_002_35
ES_002_37,3,3,ES,ES_002,OG,0 days 00:11:54.285000,0 days 00:11:54.895000,0 days 00:00:00.610000,EN_002_37
ES_002_38,3,3,ES,ES_002,OG,0 days 00:11:55.760000,0 days 00:11:57.360000,0 days 00:00:01.600000,EN_002_38
ES_002_41,3,3,ES,ES_002,OG,0 days 00:12:24.100000,0 days 00:12:26.430000,0 days 00:00:02.330000,EN_002_41
ES_002_43,3,3,ES,ES_002,OG,0 days 00:12:30.395000,0 days 00:12:30.895000,0 days 00:00:00.500000,EN_002_43
EN_002_1,4,4,EN,EN_002,RE,0 days 00:00:29.615000,0 days 00:00:30.715000,0 days 00:00:01.100000,ES_002_1
EN_002_4,4,4,EN,EN_002,RE,0 days 00:03:56.885000,0 days 00:03:58.145000,0 days 00:00:01.260000,ES_002_4
EN_002_6,4,4,EN,EN_002,RE,0 days 00:06:45.225000,0 days 00:06:47.095000,0 days 00:00:01.870000,ES_002_6
EN_002_8,4,4,EN,EN_002,RE,0 days 00:09:50.745000,0 days 00:09:53.515000,0 days 00:00:02.770000,ES_002_8
EN_002_10,4,4,EN,EN_002,RE,0 days 00:09:54.985000,0 days 00:09:55.635000,0 days 00:00:00.650000,ES_002_10
EN_002_11,4,4,EN,EN_002,RE,0 days 00:12:14.610000,0 days 00:12:18.550000,0 days 00:00:03.940000,ES_002_11
EN_002_12,4,4,EN,EN_002,RE,0 days 00:12:18.590000,0 days 00:12:21.070000,0 days 00:00:02.480000,ES_002_12
EN_002_15,4,4,EN,EN_002,RE,0 days 00:14:36.150000,0 days 00:14:37.310000,0 days 00:00:01.160000,ES_002_15
EN_002_17,4,4,EN,EN_002,RE,0 days 00:14:38.400000,0 days 00:14:39.160000,0 days 00:00:00.760000,ES_002_17
EN_002_18,4,4,EN,EN_002,RE,0 days 00:16:07.460000,0 days 00:16:08.407000,0 days 00:00:00.947000,ES_002_18
EN_002_20,4,4,EN,EN_002,RE,0 days 00:16:08.407000,0 days 00:16:09.887000,0 days 00:00:01.480000,ES_002_20
EN_002_21,4,4,EN,EN_002,RE,0 days 00:17:51.475000,0 days 00:17:52.615000,0 days 00:00:01.140000,ES_002_21
EN_002_23,4,4,EN,EN_002,RE,0 days 00:19:43.750000,0 days 00:19:45.670000,0 days 00:00:01.920000,ES_002_23
EN_002_27,4,4,EN,EN_002,RE,0 days 00:22:37.860000,0 days 00:22:38.910000,0 days 00:00:01.050000,ES_002_27
EN_002_28,4,4,EN,EN_002,RE,0 days 00:28:48.250000,0 days 00:28:50.120000,0 days 00:00:01.870000,ES_002_28
EN_002_29,4,4,EN,EN_002,RE,0 days 00:28:50.130000,0 days 00:28:51.170000,0 days 00:00:01.040000,ES_002_29
EN_002_31,4,4,EN,EN_002,RE,0 days 00:28:51.920000,0 days 00:28:53.410000,0 days 00:00:01.490000,ES_002_31
EN_002_34,4,4,EN,EN_002,RE,0 days 00:32:22.480000,0 days 00:32:25.460000,0 days 00:00:02.980000,ES_002_34
EN_002_36,4,4,EN,EN_002,RE,0 days 00:34:00.920000,0 days 00:34:03.090000,0 days 00:00:02.170000,ES_002_36
EN_002_39,4,4,EN,EN_002,RE,0 days 00:35:11.420000,0 days 00:35:13.050000,0 days 00:00:01.630000,ES_002_39
EN_002_40,4,4,EN,EN_002,RE,0 days 00:36:12.590000,0 days 00:36:14.240000,0 days 00:00:01.650000,ES_002_40
EN_002_42,4,4,EN,EN_002,RE,0 days 00:40:34.440000,0 days 00:40:37.160000,0 days 00:00:02.720000,ES_002_42
EN_002_2,3,3,EN,EN_002,RE,0 days 00:00:30.735000,0 days 00:00:31.465000,0 days 00:00:00.730000,ES_002_2
EN_002_3,3,3,EN,EN_002,RE,0 days 00:01:53.070000,0 days 00:01:54.320000,0 days 00:00:01.250000,ES_002_3
EN_002_5,3,3,EN,EN_002,RE,0 days 00:03:58.155000,0 days 00:03:59.145000,0 days 00:00:00.990000,ES_002_5
EN_002_7,3,3,EN,EN_002,RE,0 days 00:06:47.120000,0 days 00:06:49.320000,0 days 00:00:02.200000,ES_002_7
EN_002_9,3,3,EN,EN_002,RE,0 days 00:09:53.525000,0 days 00:09:54.965000,0 days 00:00:01.440000,ES_002_9
EN_002_13,3,3,EN,EN_002,RE,0 days 00:12:21.110000,0 days 00:12:22.510000,0 days 00:00:01.400000,ES_002_13
EN_002_14,3,3,EN,EN_002,RE,0 days 00:13:17.140000,0 days 00:13:18.760000,0 days 00:00:01.620000,ES_002_14
EN_002_16,3,3,EN,EN_002,RE,0 days 00:14:37.320000,0 days 00:14:38.430000,0 days 00:00:01.110000,ES_002_16
EN_002_22,3,3,EN,EN_002,RE,0 days 00:17:52.605000,0 days 00:17:53.855000,0 days 00:00:01.250000,ES_002_22
EN_002_24,3,3,EN,EN_002,RE,0 days 00:19:45.640000,0 days 00:19:46.380000,0 days 00:00:00.740000,ES_002_24
EN_002_25,3,3,EN,EN_002,RE,0 days 00:21:05.530000,0 days 00:21:06.880000,0 days 00:00:01.350000,ES_002_25
EN_002_26,3,3,EN,EN_002,RE,0 days 00:21:06.890000,0 days 00:21:07.860000,0 days 00:00:00.970000,ES_002_26
EN_002_30,3,3,EN,EN_002,RE,0 days 00:28:51.190000,0 days 00:28:51.910000,0 days 00:00:00.720000,ES_002_30
EN_002_32,3,3,EN,EN_002,RE,0 days 00:30:46.190000,0 days 00:30:47.940000,0 days 00:00:01.750000,ES_002_32
EN_002_33,3,3,EN,EN_002,RE,0 days 00:30:48.030000,0 days 00:30:49.520000,0 days 00:00:01.490000,ES_002_33
EN_002_35,3,3,EN,EN_002,RE,0 days 00:32:25.340000,0 days 00:32:26.720000,0 days 00:00:01.380000,ES_002_35
EN_002_37,3,3,EN,EN_002,RE,0 days 00:34:00.230000,0 days 00:34:00.920000,0 days 00:00:00.690000,ES_002_37
EN_002_38,3,3,EN,EN_002,RE,0 days 00:34:02.880000,0 days 00:34:04.110000,0 days 00:00:01.230000,ES_002_38
EN_002_41,3,3,EN,EN_002,RE,0 days 00:40:31.630000,0 days 00:40:34.450000,0 days 00:00:02.820000,ES_002_41
EN_002_43,3,3,EN,EN_002,RE,0 days 00:40:37.185000,0 days 00:40:37.765000,0 days 00:00:00.580000,ES_002_43
ES_003_7,6,6,ES,ES_003,OG,0 days 00:01:11.265000,0 days 00:01:12.055000,0 days 00:00:00.790000,EN_003_7
ES_003_18,6,6,ES,ES_003,OG,0 days 00:03:50.990000,0 days 00:03:51.920000,0 days 00:00:00.930000,EN_003_18
ES_003_22,6,6,ES,ES_003,OG,0 days 00:05:20.830000,0 days 00:05:23.420000,0 days 00:00:02.590000,EN_003_22
ES_003_24,6,6,ES,ES_003,OG,0 days 00:05:40.390000,0 days 00:05:41.620000,0 days 00:00:01.230000,EN_003_24
ES_003_28,6,6,ES,ES_003,OG,0 days 00:05:48.904000,0 days 00:05:49.704000,0 days 00:00:00.800000,EN_003_28
ES_003_29,6,6,ES,ES_003,OG,0 days 00:05:56.169000,0 days 00:05:57.359000,0 days 00:00:01.190000,EN_003_29
ES_003_38,6,6,ES,ES_003,OG,0 days 00:07:50.330000,0 days 00:07:51.810000,0 days 00:00:01.480000,EN_003_38
ES_003_39,6,6,ES,ES_003,OG,0 days 00:07:52.095000,0 days 00:07:54.235000,0 days 00:00:02.140000,EN_003_39
ES_003_1,5,5,ES,ES_003,OG,0 days 00:00:11.680000,0 days 00:00:12.930000,0 days 00:00:01.250000,EN_003_1
ES_003_2,5,5,ES,ES_003,OG,0 days 00:00:43.095000,0 days 00:00:44.405000,0 days 00:00:01.310000,EN_003_2
ES_003_3,5,5,ES,ES_003,OG,0 days 00:01:03.825000,0 days 00:01:04.485000,0 days 00:00:00.660000,EN_003_3
ES_003_4,5,5,ES,ES_003,OG,0 days 00:01:04.500000,0 days 00:01:06.370000,0 days 00:00:01.870000,EN_003_4
ES_003_5,5,5,ES,ES_003,OG,0 days 00:01:06.390000,0 days 00:01:08.980000,0 days 00:00:02.590000,EN_003_5
ES_003_6,5,5,ES,ES_003,OG,0 days 00:01:10.015000,0 days 00:01:11.265000,0 days 00:00:01.250000,EN_003_6
ES_003_8,5,5,ES,ES_003,OG,0 days 00:01:12.065000,0 days 00:01:14.985000,0 days 00:00:02.920000,EN_003_8
ES_003_9,5,5,ES,ES_003,OG,0 days 00:01:18.975000,0 days 00:01:20.605000,0 days 00:00:01.630000,EN_003_9
ES_003_10,5,5,ES,ES_003,OG,0 days 00:01:41.125000,0 days 00:01:43.465000,0 days 00:00:02.340000,EN_003_10
ES_003_11,5,5,ES,ES_003,OG,0 days 00:01:43.475000,0 days 00:01:44.425000,0 days 00:00:00.950000,EN_003_11
ES_003_12,5,5,ES,ES_003,OG,0 days 00:02:14.365000,0 days 00:02:15.415000,0 days 00:00:01.050000,EN_003_12
ES_003_13,5,5,ES,ES_003,OG,0 days 00:02:15.435000,0 days 00:02:18.995000,0 days 00:00:03.560000,EN_003_13
ES_003_14,5,5,ES,ES_003,OG,0 days 00:02:19.010000,0 days 00:02:21.760000,0 days 00:00:02.750000,EN_003_14
ES_003_15,5,5,ES,ES_003,OG,0 days 00:02:41,0 days 00:02:44.230000,0 days 00:00:03.230000,EN_003_15
ES_003_16,5,5,ES,ES_003,OG,0 days 00:02:52.580000,0 days 00:02:53.530000,0 days 00:00:00.950000,EN_003_16
ES_003_17,5,5,ES,ES_003,OG,0 days 00:03:48.220000,0 days 00:03:50.990000,0 days 00:00:02.770000,EN_003_17
ES_003_19,5,5,ES,ES_003,OG,0 days 00:03:51,0 days 00:03:51.920000,0 days 00:00:00.920000,EN_003_19
ES_003_20,5,5,ES,ES_003,OG,0 days 00:03:51.935000,0 days 00:03:53.215000,0 days 00:00:01.280000,EN_003_20
ES_003_21,5,5,ES,ES_003,OG,0 days 00:04:06.930000,0 days 00:04:08.310000,0 days 00:00:01.380000,EN_003_21
ES_003_23,5,5,ES,ES_003,OG,0 days 00:05:39.135000,0 days 00:05:40.395000,0 days 00:00:01.260000,EN_003_23
ES_003_25,5,5,ES,ES_003,OG,0 days 00:05:44.894000,0 days 00:05:46.004000,0 days 00:00:01.110000,EN_003_25
ES_003_26,5,5,ES,ES_003,OG,0 days 00:05:46.004000,0 days 00:05:47.064000,0 days 00:00:01.060000,EN_003_26
ES_003_27,5,5,ES,ES_003,OG,0 days 00:05:47.079000,0 days 00:05:48.259000,0 days 00:00:01.180000,EN_003_27
ES_003_30,5,5,ES,ES_003,OG,0 days 00:05:57.179000,0 days 00:05:58.749000,0 days 00:00:01.570000,EN_003_30
ES_003_31,5,5,ES,ES_003,OG,0 days 00:06:16.059000,0 days 00:06:17.539000,0 days 00:00:01.480000,EN_003_31
ES_003_32,5,5,ES,ES_003,OG,0 days 00:06:17.674000,0 days 00:06:19.134000,0 days 00:00:01.460000,EN_003_32
ES_003_33,5,5,ES,ES_003,OG,0 days 00:06:23.194000,0 days 00:06:24.759000,0 days 00:00:01.565000,EN_003_33
ES_003_34,5,5,ES,ES_003,OG,0 days 00:06:24.759000,0 days 00:06:26.889000,0 days 00:00:02.130000,EN_003_34
ES_003_35,5,5,ES,ES_003,OG,0 days 00:06:31.289000,0 days 00:06:32.379000,0 days 00:00:01.090000,EN_003_35
ES_003_36,5,5,ES,ES_003,OG,0 days 00:06:32.399000,0 days 00:06:34.609000,0 days 00:00:02.210000,EN_003_36
ES_003_37,5,5,ES,ES_003,OG,0 days 00:06:34.619000,0 days 00:06:36.359000,0 days 00:00:01.740000,EN_003_37
EN_003_7,6,6,EN,EN_003,RE,0 days 00:08:12.095000,0 days 00:08:12.985000,0 days 00:00:00.890000,ES_003_7
EN_003_18,6,6,EN,EN_003,RE,0 days 00:18:27.695000,0 days 00:18:28.565000,0 days 00:00:00.870000,ES_003_18
EN_003_22,6,6,EN,EN_003,RE,0 days 00:25:49.690000,0 days 00:25:52.800000,0 days 00:00:03.110000,ES_003_22
