id,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,lang_code,conv_id,original_or_reenacted,time_start,time_end,duration,trans_id
ES_003_#6,5,6,5,6,ES,ES_003,OG,0 days 00:01:41.135000,0 days 00:01:44.425000,0 days 00:00:03.290000,EN_003_#6
ES_003_#7,5,6,5,6,ES,ES_003,OG,0 days 00:02:14.370000,0 days 00:02:21.790000,0 days 00:00:07.420000,EN_003_#7
ES_003_#8,5,6,5,6,ES,ES_003,OG,0 days 00:02:41,0 days 00:02:44.230000,0 days 00:00:03.230000,EN_003_#8
ES_003_#9,5,6,5,6,ES,ES_003,OG,0 days 00:02:52.580000,0 days 00:02:53.530000,0 days 00:00:00.950000,EN_003_#9
ES_003_#10,5,6,5,6,ES,ES_003,OG,0 days 00:03:48.220000,0 days 00:03:53.210000,0 days 00:00:04.990000,EN_003_#10
ES_003_#11,5,6,5,6,ES,ES_003,OG,0 days 00:04:06.930000,0 days 00:04:08.310000,0 days 00:00:01.380000,EN_003_#11
ES_003_#12,5,6,5,6,ES,ES_003,OG,0 days 00:05:20.830000,0 days 00:05:23.420000,0 days 00:00:02.590000,EN_003_#12
ES_003_#13,5,6,5,6,ES,ES_003,OG,0 days 00:05:39.150000,0 days 00:05:41.590000,0 days 00:00:02.440000,EN_003_#13
ES_003_#14,5,6,5,6,ES,ES_003,OG,0 days 00:05:44.909000,0 days 00:05:48.249000,0 days 00:00:03.340000,EN_003_#14
ES_003_#15,5,6,5,6,ES,ES_003,OG,0 days 00:05:48.904000,0 days 00:05:49.704000,0 days 00:00:00.800000,EN_003_#15
ES_003_#16,5,6,5,6,ES,ES_003,OG,0 days 00:05:56.169000,0 days 00:05:58.739000,0 days 00:00:02.570000,EN_003_#16
ES_003_#17,5,6,5,6,ES,ES_003,OG,0 days 00:06:16.079000,0 days 00:06:19.069000,0 days 00:00:02.990000,EN_003_#17
ES_003_#18,5,6,5,6,ES,ES_003,OG,0 days 00:06:23.199000,0 days 00:06:26.799000,0 days 00:00:03.600000,EN_003_#18
ES_003_#19,5,6,5,6,ES,ES_003,OG,0 days 00:06:31.294000,0 days 00:06:36.354000,0 days 00:00:05.060000,EN_003_#19
ES_003_#20,5,6,5,6,ES,ES_003,OG,0 days 00:07:50.330000,0 days 00:07:54.100000,0 days 00:00:03.770000,EN_003_#20
EN_003_#1,5,6,5,6,EN,EN_003,RE,0 days 00:01:44.870000,0 days 00:01:46.010000,0 days 00:00:01.140000,ES_003_#1
EN_003_#2,5,6,5,6,EN,EN_003,RE,0 days 00:04:14.260000,0 days 00:04:15.940000,0 days 00:00:01.680000,ES_003_#2
EN_003_#3,5,6,5,6,EN,EN_003,RE,0 days 00:06:03.240000,0 days 00:06:09.050000,0 days 00:00:05.810000,ES_003_#3
EN_003_#4,5,6,5,6,EN,EN_003,RE,0 days 00:08:10.360000,0 days 00:08:15.490000,0 days 00:00:05.130000,ES_003_#4
EN_003_#5,5,6,5,6,EN,EN_003,RE,0 days 00:09:14.890000,0 days 00:09:16.470000,0 days 00:00:01.580000,ES_003_#5
EN_003_#6,5,6,5,6,EN,EN_003,RE,0 days 00:10:42.840000,0 days 00:10:45.660000,0 days 00:00:02.820000,ES_003_#6
EN_003_#7,5,6,5,6,EN,EN_003,RE,0 days 00:12:43.310000,0 days 00:12:49.190000,0 days 00:00:05.880000,ES_003_#7
EN_003_#8,5,6,5,6,EN,EN_003,RE,0 days 00:14:52.880000,0 days 00:14:57.180000,0 days 00:00:04.300000,ES_003_#8
EN_003_#9,5,6,5,6,EN,EN_003,RE,0 days 00:15:40.330000,0 days 00:15:41.680000,0 days 00:00:01.350000,ES_003_#9
EN_003_#10,5,6,5,6,EN,EN_003,RE,0 days 00:18:25.800000,0 days 00:18:30.130000,0 days 00:00:04.330000,ES_003_#10
EN_003_#11,5,6,5,6,EN,EN_003,RE,0 days 00:20:17.490000,0 days 00:20:19.360000,0 days 00:00:01.870000,ES_003_#11
EN_003_#12,5,6,5,6,EN,EN_003,RE,0 days 00:25:49.690000,0 days 00:25:52.800000,0 days 00:00:03.110000,ES_003_#12
EN_003_#13,5,6,5,6,EN,EN_003,RE,0 days 00:26:51.770000,0 days 00:26:54.600000,0 days 00:00:02.830000,ES_003_#13
EN_003_#14,5,6,5,6,EN,EN_003,RE,0 days 00:28:00.350000,0 days 00:28:03.330000,0 days 00:00:02.980000,ES_003_#14
EN_003_#15,5,6,5,6,EN,EN_003,RE,0 days 00:28:29.200000,0 days 00:28:30.400000,0 days 00:00:01.200000,ES_003_#15
EN_003_#16,5,6,5,6,EN,EN_003,RE,0 days 00:29:46.680000,0 days 00:29:48.970000,0 days 00:00:02.290000,ES_003_#16
EN_003_#17,5,6,5,6,EN,EN_003,RE,0 days 00:30:46.940000,0 days 00:30:49.200000,0 days 00:00:02.260000,ES_003_#17
EN_003_#18,5,6,5,6,EN,EN_003,RE,0 days 00:31:40.320000,0 days 00:31:43.760000,0 days 00:00:03.440000,ES_003_#18
EN_003_#19,5,6,5,6,EN,EN_003,RE,0 days 00:32:46.340000,0 days 00:32:51.600000,0 days 00:00:05.260000,ES_003_#19
EN_003_#20,5,6,5,6,EN,EN_003,RE,0 days 00:34:37.820000,0 days 00:34:41.160000,0 days 00:00:03.340000,ES_003_#20
ES_004_#1,7,8,7,3,ES,ES_004,OG,0 days 00:00:24.130000,0 days 00:00:29.830000,0 days 00:00:05.700000,EN_004_#1
ES_004_#2,7,8,7,3,ES,ES_004,OG,0 days 00:00:30.890000,0 days 00:00:33.810000,0 days 00:00:02.920000,EN_004_#2
ES_004_#3,7,8,7,3,ES,ES_004,OG,0 days 00:00:33.825000,0 days 00:00:36.225000,0 days 00:00:02.400000,EN_004_#3
ES_004_#4,7,8,7,3,ES,ES_004,OG,0 days 00:00:41.250000,0 days 00:00:46.050000,0 days 00:00:04.800000,EN_004_#4
ES_004_#5,7,8,7,3,ES,ES_004,OG,0 days 00:00:53.690000,0 days 00:00:55.400000,0 days 00:00:01.710000,EN_004_#5
ES_004_#6,7,8,7,3,ES,ES_004,OG,0 days 00:01:12.320000,0 days 00:01:14.570000,0 days 00:00:02.250000,EN_004_#6
ES_004_#7,7,8,7,3,ES,ES_004,OG,0 days 00:01:22.500000,0 days 00:01:24.450000,0 days 00:00:01.950000,EN_004_#7
ES_004_#8,7,8,7,3,ES,ES_004,OG,0 days 00:01:31.930000,0 days 00:01:34.840000,0 days 00:00:02.910000,EN_004_#8
ES_004_#9,7,8,7,3,ES,ES_004,OG,0 days 00:01:37.610000,0 days 00:01:40.640000,0 days 00:00:03.030000,EN_004_#9
ES_004_#10,7,8,7,3,ES,ES_004,OG,0 days 00:01:59.140000,0 days 00:02:01.690000,0 days 00:00:02.550000,EN_004_#10
ES_004_#11,7,8,7,3,ES,ES_004,OG,0 days 00:02:10.070000,0 days 00:02:12.610000,0 days 00:00:02.540000,EN_004_#11
ES_004_#12,7,8,7,3,ES,ES_004,OG,0 days 00:02:17.015000,0 days 00:02:17.975000,0 days 00:00:00.960000,EN_004_#12
ES_004_#13,7,8,7,3,ES,ES_004,OG,0 days 00:02:19.010000,0 days 00:02:20.150000,0 days 00:00:01.140000,EN_004_#13
ES_004_#14,7,8,7,3,ES,ES_004,OG,0 days 00:02:23.600000,0 days 00:02:24.550000,0 days 00:00:00.950000,EN_004_#14
ES_004_#15,7,8,7,3,ES,ES_004,OG,0 days 00:02:37.080000,0 days 00:02:41.360000,0 days 00:00:04.280000,EN_004_#15
ES_004_#16,7,8,7,3,ES,ES_004,OG,0 days 00:02:42.470000,0 days 00:02:46.960000,0 days 00:00:04.490000,EN_004_#16
ES_004_#17,7,8,7,3,ES,ES_004,OG,0 days 00:03:33.010000,0 days 00:03:36.860000,0 days 00:00:03.850000,EN_004_#17
ES_004_#18,7,8,7,3,ES,ES_004,OG,0 days 00:04:13.660000,0 days 00:04:16.800000,0 days 00:00:03.140000,EN_004_#18
ES_004_#19,7,8,7,3,ES,ES_004,OG,0 days 00:04:30.780000,0 days 00:04:34.620000,0 days 00:00:03.840000,EN_004_#19
ES_004_#20,7,8,7,3,ES,ES_004,OG,0 days 00:04:35.510000,0 days 00:04:40.230000,0 days 00:00:04.720000,EN_004_#20
ES_004_#21,7,8,7,3,ES,ES_004,OG,0 days 00:04:44.405000,0 days 00:04:47.815000,0 days 00:00:03.410000,EN_004_#21
ES_004_#22,7,8,7,3,ES,ES_004,OG,0 days 00:05:01.570000,0 days 00:05:04.090000,0 days 00:00:02.520000,EN_004_#22
ES_004_#23,7,8,7,3,ES,ES_004,OG,0 days 00:06:20.575000,0 days 00:06:22.655000,0 days 00:00:02.080000,EN_004_#23
EN_004_#1,7,8,7,3,EN,EN_004,RE,0 days 00:01:03.040000,0 days 00:01:09.200000,0 days 00:00:06.160000,ES_004_#1
EN_004_#2,7,8,7,3,EN,EN_004,RE,0 days 00:01:30.610000,0 days 00:01:33.830000,0 days 00:00:03.220000,ES_004_#2
EN_004_#3,7,8,7,3,EN,EN_004,RE,0 days 00:02:47,0 days 00:02:50.050000,0 days 00:00:03.050000,ES_004_#3
EN_004_#4,7,8,7,3,EN,EN_004,RE,0 days 00:05:03.440000,0 days 00:05:09.680000,0 days 00:00:06.240000,ES_004_#4
EN_004_#5,7,8,7,3,EN,EN_004,RE,0 days 00:07:32.300000,0 days 00:07:35.180000,0 days 00:00:02.880000,ES_004_#5
EN_004_#6,7,8,7,3,EN,EN_004,RE,0 days 00:10:26.030000,0 days 00:10:28.270000,0 days 00:00:02.240000,ES_004_#6
EN_004_#7,7,8,7,3,EN,EN_004,RE,0 days 00:12:47.650000,0 days 00:12:50.970000,0 days 00:00:03.320000,ES_004_#7
EN_004_#8,7,8,7,3,EN,EN_004,RE,0 days 00:16:39.010000,0 days 00:16:42.340000,0 days 00:00:03.330000,ES_004_#8
EN_004_#9,7,8,7,3,EN,EN_004,RE,0 days 00:17:48.870000,0 days 00:17:52.190000,0 days 00:00:03.320000,ES_004_#9
EN_004_#10,7,8,7,3,EN,EN_004,RE,0 days 00:18:49.400000,0 days 00:18:51.700000,0 days 00:00:02.300000,ES_004_#10
EN_004_#11,7,8,7,3,EN,EN_004,RE,0 days 00:20:06.670000,0 days 00:20:09.930000,0 days 00:00:03.260000,ES_004_#11
EN_004_#12,7,8,7,3,EN,EN_004,RE,0 days 00:21:34.420000,0 days 00:21:35.510000,0 days 00:00:01.090000,ES_004_#12
EN_004_#13,7,8,7,3,EN,EN_004,RE,0 days 00:22:05.400000,0 days 00:22:06.660000,0 days 00:00:01.260000,ES_004_#13
EN_004_#14,7,8,7,3,EN,EN_004,RE,0 days 00:23:05.660000,0 days 00:23:06.960000,0 days 00:00:01.300000,ES_004_#14
EN_004_#15,7,8,7,3,EN,EN_004,RE,0 days 00:25:21.160000,0 days 00:25:26.080000,0 days 00:00:04.920000,ES_004_#15
EN_004_#16,7,8,7,3,EN,EN_004,RE,0 days 00:27:46.140000,0 days 00:27:51.100000,0 days 00:00:04.960000,ES_004_#16
EN_004_#17,7,8,7,3,EN,EN_004,RE,0 days 00:30:13.230000,0 days 00:30:17.840000,0 days 00:00:04.610000,ES_004_#17
EN_004_#18,7,8,7,3,EN,EN_004,RE,0 days 00:32:58.490000,0 days 00:33:02.380000,0 days 00:00:03.890000,ES_004_#18
EN_004_#19,7,8,7,3,EN,EN_004,RE,0 days 00:35:13.520000,0 days 00:35:18.770000,0 days 00:00:05.250000,ES_004_#19
EN_004_#20,7,8,7,3,EN,EN_004,RE,0 days 00:38:25.960000,0 days 00:38:31.530000,0 days 00:00:05.570000,ES_004_#20
EN_004_#21,7,8,7,3,EN,EN_004,RE,0 days 00:40:13.030000,0 days 00:40:16.280000,0 days 00:00:03.250000,ES_004_#21
EN_004_#22,7,8,7,3,EN,EN_004,RE,0 days 00:42:00.270000,0 days 00:42:03.870000,0 days 00:00:03.600000,ES_004_#22
EN_004_#23,7,8,7,3,EN,EN_004,RE,0 days 00:43:14.790000,0 days 00:43:16.960000,0 days 00:00:02.170000,ES_004_#23
ES_005_#1,10,9,3,8,ES,ES_005,OG,0 days 00:00:08.930000,0 days 00:00:10.340000,0 days 00:00:01.410000,EN_005_#1
ES_005_#2,10,9,3,8,ES,ES_005,OG,0 days 00:00:18.555000,0 days 00:00:19.735000,0 days 00:00:01.180000,EN_005_#2
ES_005_#3,10,9,3,8,ES,ES_005,OG,0 days 00:00:19.865000,0 days 00:00:21.365000,0 days 00:00:01.500000,EN_005_#3
ES_005_#4,10,9,3,8,ES,ES_005,OG,0 days 00:00:27.625000,0 days 00:00:32.415000,0 days 00:00:04.790000,EN_005_#4
ES_005_#5,10,9,3,8,ES,ES_005,OG,0 days 00:00:35.570000,0 days 00:00:40.210000,0 days 00:00:04.640000,EN_005_#5
ES_005_#6,10,9,3,8,ES,ES_005,OG,0 days 00:00:42.830000,0 days 00:00:46.720000,0 days 00:00:03.890000,EN_005_#6
ES_005_#7,10,9,3,8,ES,ES_005,OG,0 days 00:00:46.740000,0 days 00:00:51.350000,0 days 00:00:04.610000,EN_005_#7
ES_005_#8,10,9,3,8,ES,ES_005,OG,0 days 00:00:54.500000,0 days 00:01:00.560000,0 days 00:00:06.060000,EN_005_#8
ES_005_#9,10,9,3,8,ES,ES_005,OG,0 days 00:01:00.670000,0 days 00:01:05.110000,0 days 00:00:04.440000,EN_005_#9
ES_005_#10,10,9,3,8,ES,ES_005,OG,0 days 00:01:05.290000,0 days 00:01:06.630000,0 days 00:00:01.340000,EN_005_#10
ES_005_#12,10,9,3,8,ES,ES_005,OG,0 days 00:01:09.955000,0 days 00:01:12.395000,0 days 00:00:02.440000,EN_005_#12
ES_005_#13,10,9,3,8,ES,ES_005,OG,0 days 00:01:12.575000,0 days 00:01:15.495000,0 days 00:00:02.920000,EN_005_#13
ES_005_#14,10,9,3,8,ES,ES_005,OG,0 days 00:01:53.810000,0 days 00:01:58.990000,0 days 00:00:05.180000,EN_005_#14
ES_005_#15,10,9,3,8,ES,ES_005,OG,0 days 00:02:01.510000,0 days 00:02:04.010000,0 days 00:00:02.500000,EN_005_#15
ES_005_#16,10,9,3,8,ES,ES_005,OG,0 days 00:02:34.170000,0 days 00:02:37.960000,0 days 00:00:03.790000,EN_005_#16
ES_005_#17,10,9,3,8,ES,ES_005,OG,0 days 00:03:37.535000,0 days 00:03:39.945000,0 days 00:00:02.410000,EN_005_#17
ES_005_#18,10,9,3,8,ES,ES_005,OG,0 days 00:03:49.940000,0 days 00:03:52.360000,0 days 00:00:02.420000,EN_005_#18
ES_005_#19,10,9,3,8,ES,ES_005,OG,0 days 00:05:16.540000,0 days 00:05:18.720000,0 days 00:00:02.180000,EN_005_#19
ES_005_#20,10,9,3,8,ES,ES_005,OG,0 days 00:05:37.630000,0 days 00:05:41.740000,0 days 00:00:04.110000,EN_005_#20
EN_005_#1,10,9,3,8,EN,EN_005,RE,0 days 00:00:15.380000,0 days 00:00:17.120000,0 days 00:00:01.740000,ES_005_#1
EN_005_#2,10,9,3,8,EN,EN_005,RE,0 days 00:00:46.670000,0 days 00:00:48.470000,0 days 00:00:01.800000,ES_005_#2
EN_005_#3,10,9,3,8,EN,EN_005,RE,0 days 00:01:54.550000,0 days 00:01:56.780000,0 days 00:00:02.230000,ES_005_#3
EN_005_#4,10,9,3,8,EN,EN_005,RE,0 days 00:02:49.750000,0 days 00:02:55.150000,0 days 00:00:05.400000,ES_005_#4
EN_005_#5,10,9,3,8,EN,EN_005,RE,0 days 00:03:55.080000,0 days 00:04:00.300000,0 days 00:00:05.220000,ES_005_#5
EN_005_#6,10,9,3,8,EN,EN_005,RE,0 days 00:05:20.740000,0 days 00:05:24.520000,0 days 00:00:03.780000,ES_005_#6
EN_005_#7,10,9,3,8,EN,EN_005,RE,0 days 00:06:08.360000,0 days 00:06:12.930000,0 days 00:00:04.570000,ES_005_#7
EN_005_#8,10,9,3,8,EN,EN_005,RE,0 days 00:09:38.105000,0 days 00:09:43.975000,0 days 00:00:05.870000,ES_005_#8
EN_005_#9,10,9,3,8,EN,EN_005,RE,0 days 00:10:41.840000,0 days 00:10:46.490000,0 days 00:00:04.650000,ES_005_#9
EN_005_#10,10,9,3,8,EN,EN_005,RE,0 days 00:11:14.690000,0 days 00:11:16.200000,0 days 00:00:01.510000,ES_005_#10
