id,markup_value,tier_name,time_start,time_end,conv_id,trans_conv_id,lang_code,trans_lang_code,conv_audio_path,original_or_reenacted,participant_id_left,participant_id_right,participant_id_left_unique,participant_id_right_unique,trans_id,duration,audio_path
EN_001_#7,#7,Utterance,0 days 00:18:55.770000,0 days 00:19:00.851000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#7,0 days 00:00:05.081000,fragments-long/EN_001_#7.wav
EN_001_#8,#8,Utterance,0 days 00:21:13.188000,0 days 00:21:15.458000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#8,0 days 00:00:02.270000,fragments-long/EN_001_#8.wav
EN_001_#9,#9,Utterance,0 days 00:25:26.094000,0 days 00:25:36.155000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#9,0 days 00:00:10.061000,fragments-long/EN_001_#9.wav
EN_001_#10,#10,Utterance,0 days 00:28:19.580000,0 days 00:28:26.175000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#10,0 days 00:00:06.595000,fragments-long/EN_001_#10.wav
EN_001_#11,#11,Utterance,0 days 00:29:50.904000,0 days 00:29:54.025000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#11,0 days 00:00:03.121000,fragments-long/EN_001_#11.wav
EN_001_#12,#12,Utterance,0 days 00:32:16.526000,0 days 00:32:23.634000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#12,0 days 00:00:07.108000,fragments-long/EN_001_#12.wav
EN_001_#13,#13,Utterance,0 days 00:36:14.080000,0 days 00:36:22.567000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#13,0 days 00:00:08.487000,fragments-long/EN_001_#13.wav
EN_001_#14,#14,Utterance,0 days 00:40:02.648000,0 days 00:40:14.040000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#14,0 days 00:00:11.392000,fragments-long/EN_001_#14.wav
EN_001_#15,#15,Utterance,0 days 00:43:35.202000,0 days 00:43:38.459000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#15,0 days 00:00:03.257000,fragments-long/EN_001_#15.wav
EN_001_#16,#16,Utterance,0 days 00:47:51.432000,0 days 00:47:58.783000,EN_001,ES_001,EN,ES,recordings/EN_001.wav,RE,2,1,2,1,ES_001_#16,0 days 00:00:07.351000,fragments-long/EN_001_#16.wav
ES_002_#1,#1,Utterance,0 days 00:02:55.320000,0 days 00:02:56.990000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#1,0 days 00:00:01.670000,fragments-long/ES_002_#1.wav
ES_002_#2,#2,Utterance,0 days 00:03:01.460000,0 days 00:03:02.540000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#2,0 days 00:00:01.080000,fragments-long/ES_002_#2.wav
ES_002_#3,#3,Utterance,0 days 00:03:21.185000,0 days 00:03:23.645000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#3,0 days 00:00:02.460000,fragments-long/ES_002_#3.wav
ES_002_#4,#4,Utterance,0 days 00:03:50.675000,0 days 00:03:54.615000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#4,0 days 00:00:03.940000,fragments-long/ES_002_#4.wav
ES_002_#5,#5,Utterance,0 days 00:03:57.450000,0 days 00:04:00.870000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#5,0 days 00:00:03.420000,fragments-long/ES_002_#5.wav
ES_002_#6,#6,Utterance,0 days 00:04:14.675000,0 days 00:04:22.745000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#6,0 days 00:00:08.070000,fragments-long/ES_002_#6.wav
ES_002_#7,#7,Utterance,0 days 00:04:32.550000,0 days 00:04:34.170000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#7,0 days 00:00:01.620000,fragments-long/ES_002_#7.wav
ES_002_#8,#8,Utterance,0 days 00:04:34.375000,0 days 00:04:38.135000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#8,0 days 00:00:03.760000,fragments-long/ES_002_#8.wav
ES_002_#9,#9,Utterance,0 days 00:05:06.800000,0 days 00:05:09.130000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#9,0 days 00:00:02.330000,fragments-long/ES_002_#9.wav
ES_002_#10,#10,Utterance,0 days 00:05:25.950000,0 days 00:05:28.050000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#10,0 days 00:00:02.100000,fragments-long/ES_002_#10.wav
ES_002_#11,#11,Utterance,0 days 00:05:53.185000,0 days 00:05:57.075000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#11,0 days 00:00:03.890000,fragments-long/ES_002_#11.wav
ES_002_#12,#12,Utterance,0 days 00:06:47.075000,0 days 00:06:50.095000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#12,0 days 00:00:03.020000,fragments-long/ES_002_#12.wav
ES_002_#13,#13,Utterance,0 days 00:08:01.760000,0 days 00:08:02.930000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#13,0 days 00:00:01.170000,fragments-long/ES_002_#13.wav
ES_002_#14,#14,Utterance,0 days 00:11:03.580000,0 days 00:11:10.480000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#14,0 days 00:00:06.900000,fragments-long/ES_002_#14.wav
ES_002_#15,#15,Utterance,0 days 00:11:15.325000,0 days 00:11:18.485000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#15,0 days 00:00:03.160000,fragments-long/ES_002_#15.wav
ES_002_#16,#16,Utterance,0 days 00:11:24.780000,0 days 00:11:29.050000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#16,0 days 00:00:04.270000,fragments-long/ES_002_#16.wav
ES_002_#17,#17,Utterance,0 days 00:11:54.280000,0 days 00:11:57.350000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#17,0 days 00:00:03.070000,fragments-long/ES_002_#17.wav
ES_002_#18,#18,Utterance,0 days 00:12:02.940000,0 days 00:12:04.940000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#18,0 days 00:00:02,fragments-long/ES_002_#18.wav
ES_002_#19,#19,Utterance,0 days 00:12:05.930000,0 days 00:12:07.700000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#19,0 days 00:00:01.770000,fragments-long/ES_002_#19.wav
ES_002_#20,#20,Utterance,0 days 00:12:24.110000,0 days 00:12:30.890000,ES_002,EN_002,ES,EN,recordings/ES_002.wav,OG,3,4,3,4,EN_002_#20,0 days 00:00:06.780000,fragments-long/ES_002_#20.wav
EN_002_#1,#1,Utterance,0 days 00:00:29.620000,0 days 00:00:31.490000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#1,0 days 00:00:01.870000,fragments-long/EN_002_#1.wav
EN_002_#2,#2,Utterance,0 days 00:01:53.210000,0 days 00:01:54.310000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#2,0 days 00:00:01.100000,fragments-long/EN_002_#2.wav
EN_002_#3,#3,Utterance,0 days 00:03:56.900000,0 days 00:03:59.130000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#3,0 days 00:00:02.230000,fragments-long/EN_002_#3.wav
EN_002_#4,#4,Utterance,0 days 00:06:45.240000,0 days 00:06:49.310000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#4,0 days 00:00:04.070000,fragments-long/EN_002_#4.wav
EN_002_#5,#5,Utterance,0 days 00:09:50.740000,0 days 00:09:55.640000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#5,0 days 00:00:04.900000,fragments-long/EN_002_#5.wav
EN_002_#6,#6,Utterance,0 days 00:12:14.610000,0 days 00:12:22.510000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#6,0 days 00:00:07.900000,fragments-long/EN_002_#6.wav
EN_002_#7,#7,Utterance,0 days 00:13:17.160000,0 days 00:13:18.780000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#7,0 days 00:00:01.620000,fragments-long/EN_002_#7.wav
EN_002_#8,#8,Utterance,0 days 00:14:36.160000,0 days 00:14:39.160000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#8,0 days 00:00:03,fragments-long/EN_002_#8.wav
EN_002_#9,#9,Utterance,0 days 00:16:07.480000,0 days 00:16:09.720000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#9,0 days 00:00:02.240000,fragments-long/EN_002_#9.wav
EN_002_#10,#10,Utterance,0 days 00:17:51.470000,0 days 00:17:53.850000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#10,0 days 00:00:02.380000,fragments-long/EN_002_#10.wav
EN_002_#11,#11,Utterance,0 days 00:19:43.760000,0 days 00:19:46.360000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#11,0 days 00:00:02.600000,fragments-long/EN_002_#11.wav
EN_002_#12,#12,Utterance,0 days 00:21:05.530000,0 days 00:21:07.840000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#12,0 days 00:00:02.310000,fragments-long/EN_002_#12.wav
EN_002_#13,#13,Utterance,0 days 00:22:37.860000,0 days 00:22:38.910000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#13,0 days 00:00:01.050000,fragments-long/EN_002_#13.wav
EN_002_#14,#14,Utterance,0 days 00:28:48.250000,0 days 00:28:53.430000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#14,0 days 00:00:05.180000,fragments-long/EN_002_#14.wav
EN_002_#15,#15,Utterance,0 days 00:30:46.190000,0 days 00:30:49.630000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#15,0 days 00:00:03.440000,fragments-long/EN_002_#15.wav
EN_002_#16,#16,Utterance,0 days 00:32:22.470000,0 days 00:32:26.730000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#16,0 days 00:00:04.260000,fragments-long/EN_002_#16.wav
EN_002_#17,#17,Utterance,0 days 00:34:00.230000,0 days 00:34:04.070000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#17,0 days 00:00:03.840000,fragments-long/EN_002_#17.wav
EN_002_#18,#18,Utterance,0 days 00:35:11.420000,0 days 00:35:13.050000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#18,0 days 00:00:01.630000,fragments-long/EN_002_#18.wav
EN_002_#19,#19,Utterance,0 days 00:36:12.610000,0 days 00:36:14.260000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#19,0 days 00:00:01.650000,fragments-long/EN_002_#19.wav
EN_002_#20,#20,Utterance,0 days 00:40:31.650000,0 days 00:40:37.740000,EN_002,ES_002,EN,ES,recordings/EN_002.wav,RE,3,4,3,4,ES_002_#20,0 days 00:00:06.090000,fragments-long/EN_002_#20.wav
ES_003_#1,#1,Utterance,0 days 00:00:11.680000,0 days 00:00:12.930000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#1,0 days 00:00:01.250000,fragments-long/ES_003_#1.wav
ES_003_#2,#2,Utterance,0 days 00:00:43.070000,0 days 00:00:44.410000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#2,0 days 00:00:01.340000,fragments-long/ES_003_#2.wav
ES_003_#3,#3,Utterance,0 days 00:01:03.830000,0 days 00:01:08.970000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#3,0 days 00:00:05.140000,fragments-long/ES_003_#3.wav
ES_003_#4,#4,Utterance,0 days 00:01:10.020000,0 days 00:01:14.960000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#4,0 days 00:00:04.940000,fragments-long/ES_003_#4.wav
ES_003_#5,#5,Utterance,0 days 00:01:18.975000,0 days 00:01:20.605000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#5,0 days 00:00:01.630000,fragments-long/ES_003_#5.wav
ES_003_#6,#6,Utterance,0 days 00:01:41.135000,0 days 00:01:44.425000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#6,0 days 00:00:03.290000,fragments-long/ES_003_#6.wav
ES_003_#7,#7,Utterance,0 days 00:02:14.370000,0 days 00:02:21.790000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#7,0 days 00:00:07.420000,fragments-long/ES_003_#7.wav
ES_003_#8,#8,Utterance,0 days 00:02:41,0 days 00:02:44.230000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#8,0 days 00:00:03.230000,fragments-long/ES_003_#8.wav
ES_003_#9,#9,Utterance,0 days 00:02:52.580000,0 days 00:02:53.530000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#9,0 days 00:00:00.950000,fragments-long/ES_003_#9.wav
ES_003_#10,#10,Utterance,0 days 00:03:48.220000,0 days 00:03:53.210000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#10,0 days 00:00:04.990000,fragments-long/ES_003_#10.wav
ES_003_#11,#11,Utterance,0 days 00:04:06.930000,0 days 00:04:08.310000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#11,0 days 00:00:01.380000,fragments-long/ES_003_#11.wav
ES_003_#12,#12,Utterance,0 days 00:05:20.830000,0 days 00:05:23.420000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#12,0 days 00:00:02.590000,fragments-long/ES_003_#12.wav
ES_003_#13,#13,Utterance,0 days 00:05:39.150000,0 days 00:05:41.590000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#13,0 days 00:00:02.440000,fragments-long/ES_003_#13.wav
ES_003_#14,#14,Utterance,0 days 00:05:44.909000,0 days 00:05:48.249000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#14,0 days 00:00:03.340000,fragments-long/ES_003_#14.wav
ES_003_#15,#15,Utterance,0 days 00:05:48.904000,0 days 00:05:49.704000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#15,0 days 00:00:00.800000,fragments-long/ES_003_#15.wav
ES_003_#16,#16,Utterance,0 days 00:05:56.169000,0 days 00:05:58.739000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#16,0 days 00:00:02.570000,fragments-long/ES_003_#16.wav
ES_003_#17,#17,Utterance,0 days 00:06:16.079000,0 days 00:06:19.069000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#17,0 days 00:00:02.990000,fragments-long/ES_003_#17.wav
ES_003_#18,#18,Utterance,0 days 00:06:23.199000,0 days 00:06:26.799000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#18,0 days 00:00:03.600000,fragments-long/ES_003_#18.wav
ES_003_#19,#19,Utterance,0 days 00:06:31.294000,0 days 00:06:36.354000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#19,0 days 00:00:05.060000,fragments-long/ES_003_#19.wav
ES_003_#20,#20,Utterance,0 days 00:07:50.330000,0 days 00:07:54.100000,ES_003,EN_003,ES,EN,recordings/ES_003.wav,OG,5,6,5,6,EN_003_#20,0 days 00:00:03.770000,fragments-long/ES_003_#20.wav
EN_003_#1,#1,Utterance,0 days 00:01:44.870000,0 days 00:01:46.010000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#1,0 days 00:00:01.140000,fragments-long/EN_003_#1.wav
EN_003_#2,#2,Utterance,0 days 00:04:14.260000,0 days 00:04:15.940000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#2,0 days 00:00:01.680000,fragments-long/EN_003_#2.wav
EN_003_#3,#3,Utterance,0 days 00:06:03.240000,0 days 00:06:09.050000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#3,0 days 00:00:05.810000,fragments-long/EN_003_#3.wav
EN_003_#4,#4,Utterance,0 days 00:08:10.360000,0 days 00:08:15.490000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#4,0 days 00:00:05.130000,fragments-long/EN_003_#4.wav
EN_003_#5,#5,Utterance,0 days 00:09:14.890000,0 days 00:09:16.470000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#5,0 days 00:00:01.580000,fragments-long/EN_003_#5.wav
EN_003_#6,#6,Utterance,0 days 00:10:42.840000,0 days 00:10:45.660000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#6,0 days 00:00:02.820000,fragments-long/EN_003_#6.wav
EN_003_#7,#7,Utterance,0 days 00:12:43.310000,0 days 00:12:49.190000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#7,0 days 00:00:05.880000,fragments-long/EN_003_#7.wav
EN_003_#8,#8,Utterance,0 days 00:14:52.880000,0 days 00:14:57.180000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#8,0 days 00:00:04.300000,fragments-long/EN_003_#8.wav
EN_003_#9,#9,Utterance,0 days 00:15:40.330000,0 days 00:15:41.680000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#9,0 days 00:00:01.350000,fragments-long/EN_003_#9.wav
EN_003_#10,#10,Utterance,0 days 00:18:25.800000,0 days 00:18:30.130000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#10,0 days 00:00:04.330000,fragments-long/EN_003_#10.wav
EN_003_#11,#11,Utterance,0 days 00:20:17.490000,0 days 00:20:19.360000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#11,0 days 00:00:01.870000,fragments-long/EN_003_#11.wav
EN_003_#12,#12,Utterance,0 days 00:25:49.690000,0 days 00:25:52.800000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#12,0 days 00:00:03.110000,fragments-long/EN_003_#12.wav
EN_003_#13,#13,Utterance,0 days 00:26:51.770000,0 days 00:26:54.600000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#13,0 days 00:00:02.830000,fragments-long/EN_003_#13.wav
EN_003_#14,#14,Utterance,0 days 00:28:00.350000,0 days 00:28:03.330000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#14,0 days 00:00:02.980000,fragments-long/EN_003_#14.wav
EN_003_#15,#15,Utterance,0 days 00:28:29.200000,0 days 00:28:30.400000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#15,0 days 00:00:01.200000,fragments-long/EN_003_#15.wav
EN_003_#16,#16,Utterance,0 days 00:29:46.680000,0 days 00:29:48.970000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#16,0 days 00:00:02.290000,fragments-long/EN_003_#16.wav
EN_003_#17,#17,Utterance,0 days 00:30:46.940000,0 days 00:30:49.200000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#17,0 days 00:00:02.260000,fragments-long/EN_003_#17.wav
EN_003_#18,#18,Utterance,0 days 00:31:40.320000,0 days 00:31:43.760000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#18,0 days 00:00:03.440000,fragments-long/EN_003_#18.wav
EN_003_#19,#19,Utterance,0 days 00:32:46.340000,0 days 00:32:51.600000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#19,0 days 00:00:05.260000,fragments-long/EN_003_#19.wav
EN_003_#20,#20,Utterance,0 days 00:34:37.820000,0 days 00:34:41.160000,EN_003,ES_003,EN,ES,recordings/EN_003.wav,RE,5,6,5,6,ES_003_#20,0 days 00:00:03.340000,fragments-long/EN_003_#20.wav
ES_004_#1,#1,Utterance,0 days 00:00:24.130000,0 days 00:00:29.830000,ES_004,EN_004,ES,EN,recordings/ES_004.wav,OG,7,8,7,3,EN_004_#1,0 days 00:00:05.700000,fragments-long/ES_004_#1.wav
ES_004_#2,#2,Utterance,0 days 00:00:30.890000,0 days 00:00:33.810000,ES_004,EN_004,ES,EN,recordings/ES_004.wav,OG,7,8,7,3,EN_004_#2,0 days 00:00:02.920000,fragments-long/ES_004_#2.wav
ES_004_#3,#3,Utterance,0 days 00:00:33.825000,0 days 00:00:36.225000,ES_004,EN_004,ES,EN,recordings/ES_004.wav,OG,7,8,7,3,EN_004_#3,0 days 00:00:02.400000,fragments-long/ES_004_#3.wav
